image_id,category,attack_family,attack_name,attack_parameter,suspect_path,watermark_score,provenance_score,exact_hash_match,forensic_score,semantic_score,cosine_similarity,acs,decision,ssim,difference_score,histogram_score,edge_score,suspicious_region_ratio,evidence_agreement,semantic_integrity_risk,alignment_method
H2,Unknown,contrast,contrast_150,1.5,research_experiments\H2\contrast\H2_contrast_150.png,0.5791015625,0.0,False,0.6802410399169133,0.9571371674537659,0.9142743349075317,0.5679647488445124,Low technical consistency with limited semantic concentration,0.8981930184824948,0.27040238380432124,0.474198036353951,0.9154925346374512,0.010730743408203125,0.22714595359137404,0.31473823778331284,orb_homography
H2,Unknown,patch,patch_05,5%_center_area_blurred,research_experiments\H2\patch\H2_patch_05.png,0.9736328125,0.0,False,0.9774274526926443,0.9862886071205139,0.9725772142410278,0.7347802757996831,Mixed archival consistency,0.9678087502097167,0.9867642879486084,0.9998855178050068,0.968264102935791,0.019287109375,0.11400800595998431,0.25667561024427415,orb_homography
H2,Unknown,patch,patch_10,10%_center_area_blurred,research_experiments\H2\patch\H2_patch_10.png,0.951171875,0.0,False,0.9507905316677816,0.9466882348060608,0.8933764696121216,0.7119575455253746,Mixed archival consistency,0.9282901771521891,0.9688079833984375,0.9994606792143855,0.9395923614501953,0.045246124267578125,0.13324340853988426,0.29577345252037046,orb_homography
H2,Unknown,patch,patch_20,20%_center_area_blurred,research_experiments\H2\patch\H2_patch_20.png,0.9033203125,0.0,False,0.8953200065783737,0.9090033769607544,0.8180067539215088,0.677595092528901,Mixed archival consistency,0.8492722830102207,0.9292816638946533,0.9978108003905519,0.8743696212768555,0.05591583251953125,0.16373260160412395,0.3203962801396847,orb_homography
H3,Unknown,control,control_exact,exact_byte_copy,research_experiments\H3\control\H3_control_exact.png,0.9990234375,1.0,True,1.0,0.9990602731704712,0.9981205463409424,0.9994739413261413,Archive-consistent with low semantic risk,1.0,1.0,1.0,1.0,0.0,0.9990415013657151,0.0,orb_homography
H3,Unknown,jpeg,jpeg_q95,95,research_experiments\H3\jpeg\H3_jpeg_q95.jpg,0.9990234375,0.0,False,0.989637279163631,0.9795122444629669,0.9590244889259338,0.7415369885466163,Mixed archival consistency,0.9856456013989741,0.9901734352111816,0.9995484649444879,0.9908075332641602,1.9073486328125e-05,0.10728836393072647,0.11759106233716009,orb_homography
H3,Unknown,jpeg,jpeg_q75,75,research_experiments\H3\jpeg\H3_jpeg_q75.jpg,0.9951171875,0.0,False,0.9749605596174478,0.9674414694309235,0.9348829388618469,0.7340038496277665,Mixed archival consistency,0.9616908883710944,0.9822694301605225,0.9995571011056963,0.9779915809631348,0.000705718994140625,0.11382732906566453,0.12426549397408962,orb_homography
H3,Unknown,jpeg,jpeg_q50,50,research_experiments\H3\jpeg\H3_jpeg_q50.jpg,0.529296875,0.0,False,0.9291302999079946,0.9546855986118317,0.9093711972236633,0.6045559583151484,Mixed archival consistency,0.8747909418339214,0.967191219329834,0.9912820140541375,0.9665617942810059,0.003570556640625,0.16949584601409723,0.12635619480162857,orb_homography
H3,Unknown,jpeg,jpeg_q25,25,research_experiments\H3\jpeg\H3_jpeg_q25.jpg,0.4970703125,0.0,False,0.922913953943534,0.9438374042510986,0.8876748085021973,0.5920015901890364,Low technical consistency with limited semantic concentration,0.8641570592323607,0.9645632743835449,0.9828868772288055,0.9697961807250977,0.001361846923828125,0.17256580655555626,0.13496395297348499,orb_homography
H3,Unknown,crop,crop_10,10%_area_removed,research_experiments\H3\crop\H3_crop_10.png,0.5390625,0.0,False,0.9366005802072773,0.9756466150283813,0.9512932300567627,0.6147797255499698,Mixed archival consistency,0.8926887552932941,0.9643870830535889,0.9873583353025857,0.9712674617767334,0.026416778564453125,0.1606576844108864,0.14327168883755803,orb_homography
H3,Unknown,crop,crop_25,25%_area_removed,research_experiments\H3\crop\H3_crop_25.png,0.4990234375,0.0,False,0.936235369064139,0.9730635285377502,0.9461270570755005,0.6039219917491528,Mixed archival consistency,0.8917207712335982,0.9653889179229737,0.9867171517316808,0.9707081317901611,0.02346038818359375,0.15830296311462239,0.13233243314549326,orb_homography
H3,Unknown,crop,crop_50,50%_area_removed,research_experiments\H3\crop\H3_crop_50.png,0.4921875,0.0,False,0.9010885827478361,0.9484387636184692,0.8968775272369385,0.587796220635108,Low technical consistency with limited semantic concentration,0.8310223551648116,0.9387133121490479,0.9855745191778251,0.9640934467315674,0.0464019775390625,0.17742121894493149,0.17871694553643463,orb_homography
H3,Unknown,resize,resize_050,scale_0.5;interpolation_INTER_LINEAR,research_experiments\H3\resize\H3_resize_050.png,0.4970703125,0.0,False,0.9271006193485246,0.9709418714046478,0.9418837428092957,0.6009702634160993,Mixed archival consistency,0.8711510331146648,0.9667112827301025,0.9916955914137484,0.964336633682251,0.005420684814453125,0.1617488244371675,0.13409688755869867,orb_homography
H3,Unknown,resize,resize_075,scale_0.75;interpolation_INTER_LINEAR,research_experiments\H3\resize\H3_resize_075.png,0.4970703125,0.0,False,0.944555586624952,0.9914029240608215,0.9828058481216431,0.6105995726682368,Mixed archival consistency,0.9040257044413355,0.9733337879180908,0.9950931747673075,0.9676439762115479,0.002689361572265625,0.1489525099800906,0.1297507511079311,orb_homography
H3,Unknown,resize,resize_150,scale_1.5;interpolation_INTER_LINEAR,research_experiments\H3\resize\H3_resize_150.png,0.951171875,0.0,False,0.9773909898742139,0.9949364066123962,0.9898728132247925,0.7317520887085616,Mixed archival consistency,0.9659529922498759,0.9839472293853759,0.9960431476447493,0.9821257591247559,0.000225067138671875,0.11661288267123301,0.1200627699866891,orb_homography
H3,Unknown,rotation,rotate_2,2_degrees;border_BORDER_REFLECT_101,research_experiments\H3\rotation\H3_rotate_2.png,0.5849609375,0.0,False,0.9586476764620042,0.9724848568439484,0.9449697136878967,0.6297152267205853,Mixed archival consistency,0.9305289223135598,0.9761740684509277,0.9940359632751719,0.9784049987792969,0.003902435302734375,0.1574383540046085,0.12115793347358703,orb_homography
H3,Unknown,rotation,rotate_5,5_degrees;border_BORDER_REFLECT_101,research_experiments\H3\rotation\H3_rotate_5.png,0.5029296875,0.0,False,0.9574126819322155,0.9241712689399719,0.8483425378799438,0.5944663389434347,Low technical consistency with limited semantic concentration,0.9297239467435872,0.9749538421630859,0.9932911404831131,0.975365161895752,0.0089874267578125,0.16799153089351695,0.12320615120232105,orb_homography
H3,Unknown,rotation,rotate_10,10_degrees;border_BORDER_REFLECT_101,research_experiments\H3\rotation\H3_rotate_10.png,0.49609375,0.0,False,0.9347358708745219,0.9133816659450531,0.8267633318901062,0.5849851114584204,Low technical consistency with limited semantic concentration,0.8863981329226455,0.9675787925720215,0.9914096937545112,0.9683370590209961,0.012500762939453125,0.17868182741898764,0.12930907465517522,orb_homography
H3,Unknown,blur,blur_sigma1,sigma_1,research_experiments\H3\blur\H3_blur_sigma1.png,0.4970703125,0.0,False,0.9324442298525729,0.9761220514774323,0.9522441029548645,0.6035930395387442,Mixed archival consistency,0.8812236592841222,0.9682612419128418,0.9927189341927403,0.9661362171173096,0.00423431396484375,0.15822502840654867,0.1321031767129898,orb_homography
H3,Unknown,blur,blur_sigma3,sigma_3,research_experiments\H3\blur\H3_blur_sigma3.png,0.4970703125,0.0,False,0.8934176529606275,0.8945105075836182,0.7890210151672363,0.571304260992211,Low technical consistency with limited semantic concentration,0.8049809242703168,0.9530602931976319,0.9911524704576535,0.9615886211395264,0.018497467041015625,0.19880431853619732,0.15462343730032446,orb_homography
H3,Unknown,blur,blur_sigma5,sigma_5,research_experiments\H3\blur\H3_blur_sigma5.png,0.4970703125,0.0,False,0.891015727455329,0.825045645236969,0.650091290473938,0.5499844171871565,Low technical consistency with limited semantic concentration,0.8015626958927003,0.952507495880127,0.986315647751021,0.9615886211395264,0.01465606689453125,0.22115677690654256,0.17037454992532733,none
H3,Unknown,brightness,brightness_minus20,-20,research_experiments\H3\brightness\H3_brightness_minus20.png,0.703125,0.0,False,0.5886341873872012,0.9574436247348785,0.9148872494697571,0.5807411748979038,Low technical consistency with limited semantic concentration,0.30849276633719813,0.8235517024993897,0.6468100181838012,0.9793534278869629,0.00042724609375,0.22347812854350063,0.23406851530075073,orb_homography
H3,Unknown,brightness,brightness_plus20,20,research_experiments\H3\brightness\H3_brightness_plus20.png,0.9990234375,0.0,False,0.7606290222114741,0.9930518567562103,0.9861037135124207,0.6997972208441579,Mixed archival consistency,0.7352631329406029,0.75,0.6150707492546859,1.0,0.0,0.1368269216847136,0.0,orb_homography
H3,Unknown,brightness,brightness_plus40,40,research_experiments\H3\brightness\H3_brightness_plus40.png,0.9990234375,0.0,False,0.5878238102235233,0.985812783241272,0.971625566482544,0.6630644563920862,Mixed archival consistency,0.5453231104358548,0.5,0.44952273684925736,1.0,0.0,0.14034336719865553,0.0,orb_homography
H3,Unknown,contrast,contrast_075,0.75,research_experiments\H3\contrast\H3_contrast_075.png,0.9931640625,0.0,False,0.946298354272638,0.9966990947723389,0.9933981895446777,0.7365604149112293,Mixed archival consistency,0.9393521350760274,0.935477876663208,0.9505596711128192,0.9809098243713379,0.00795745849609375,0.11360238973972742,0.18498380862176417,orb_homography
H3,Unknown,contrast,contrast_125,1.25,research_experiments\H3\contrast\H3_contrast_125.png,0.98046875,0.0,False,0.9616974614672421,0.9971935749053955,0.994387149810791,0.736614752265067,Mixed archival consistency,0.9660581325722796,0.9435155391693115,0.9632081811677625,0.9774079322814941,0.00844573974609375,0.11333127085979894,0.16999930396676063,orb_homography
H3,Unknown,contrast,contrast_150,1.5,research_experiments\H3\contrast\H3_contrast_150.png,0.5830078125,0.0,False,0.9063756287968014,0.9942333698272705,0.988466739654541,0.6252970898325414,Mixed archival consistency,0.8989691874217294,0.8821419715881348,0.9127621634150663,0.9625978469848633,0.037105560302734375,0.1652756575104402,0.23125970251858236,orb_homography
H3,Unknown,patch,patch_05,5%_center_area_blurred,research_experiments\H3\patch\H3_patch_05.png,0.96875,0.0,False,0.9965819293217739,0.9962411820888519,0.9924823641777039,0.7403762404910104,Mixed archival consistency,0.9935338152702923,0.9984577655792236,0.9998627304974907,0.9993190765380859,0.000156402587890625,0.10857687701749455,0.2005249455105513,orb_homography
H3,Unknown,patch,patch_10,10%_center_area_blurred,research_experiments\H3\patch\H3_patch_10.png,0.9521484375,0.0,False,0.9928523683035523,0.986678957939148,0.9733579158782959,0.7326112704174548,Mixed archival consistency,0.9863971148861048,0.9967403888702393,0.999295704738618,0.9992947578430176,0.0002593994140625,0.11484640089412235,0.1894180397503078,orb_homography
H3,Unknown,patch,patch_20,20%_center_area_blurred,research_experiments\H3\patch\H3_patch_20.png,0.8984375,0.0,False,0.9770222926971899,0.9444471001625061,0.8888942003250122,0.7033479635881899,Mixed archival consistency,0.9588634643825857,0.9882936954498291,0.998259101705254,0.99147629737854,0.00246429443359375,0.13803763638728583,0.17609531439840795,orb_homography
H4,Unknown,control,control_exact,exact_byte_copy,research_experiments\H4\control\H4_control_exact.png,0.9990234375,1.0,True,1.0,0.9976193904876709,0.9952387809753418,0.9990416765213013,Archive-consistent with low semantic risk,1.0,1.0,1.0,1.0,0.0,0.9980497884764706,0.0,orb_homography
H4,Unknown,jpeg,jpeg_q95,95,research_experiments\H4\jpeg\H4_jpeg_q95.jpg,0.9853515625,0.0,False,0.9906154426767638,0.9870375990867615,0.974075198173523,0.7405722588863812,Mixed archival consistency,0.9944859519161021,0.991234540939331,0.9995330666723874,0.9690544605255127,0.0,0.1084843498586208,0.20320992007851602,orb_homography
H4,Unknown,jpeg,jpeg_q75,75,research_experiments\H4\jpeg\H4_jpeg_q75.jpg,0.9501953125,0.0,False,0.9678239751878196,0.9706831872463226,0.9413663744926453,0.7223185793364607,Mixed archival consistency,0.9735500272127497,0.9762868404388427,0.9937727013013004,0.9105923175811768,0.000492095947265625,0.1244668481468133,0.20009278789162638,orb_homography
H4,Unknown,jpeg,jpeg_q50,50,research_experiments\H4\jpeg\H4_jpeg_q50.jpg,0.591796875,0.0,False,0.9259618101453566,0.9629680216312408,0.9259360432624817,0.6220319872684436,Mixed archival consistency,0.9136426023907157,0.960117244720459,0.9626320272126276,0.8693234920501709,0.003765106201171875,0.17078097858687974,0.1970978829264641,orb_homography
H4,Unknown,jpeg,jpeg_q25,25,research_experiments\H4\jpeg\H4_jpeg_q25.jpg,0.4970703125,0.0,False,0.9010397687443858,0.9556759893894196,0.9113519787788391,0.5911783286907031,Low technical consistency with limited semantic concentration,0.8857460590540024,0.9506443500518799,0.9447704933327916,0.8205158710479736,0.01236724853515625,0.17528711163137192,0.22100598230957985,orb_homography
H4,Unknown,crop,crop_10,10%_area_removed,research_experiments\H4\crop\H4_crop_10.png,0.5205078125,0.0,False,0.9423522546058908,0.9862005710601807,0.9724011421203613,0.6144575753642324,Mixed archival consistency,0.9316014208869695,0.9665902614593506,0.997217537861111,0.879342794418335,0.0028228759765625,0.153727255792206,0.18610684767365457,orb_homography
H4,Unknown,crop,crop_25,25%_area_removed,research_experiments\H4\crop\H4_crop_25.png,0.4833984375,0.0,False,0.9562902048871758,0.9799385070800781,0.9598770141601562,0.6060892024764586,Mixed archival consistency,0.9512003241751218,0.9723785400390625,0.9937025475486859,0.9073336124420166,0.000316619873046875,0.14775625903508977,0.17715523153543472,orb_homography
H4,Unknown,crop,crop_50,50%_area_removed,research_experiments\H4\crop\H4_crop_50.png,0.4765625,0.0,False,0.8675050676374653,0.9636507928371429,0.9273015856742859,0.5817368763786359,Low technical consistency with limited semantic concentration,0.9128538196395891,0.8916397094726562,0.6890755224287792,0.8696639537811279,0.04958343505859375,0.18034120335578532,0.2630946635454893,orb_homography
